project,model,experiment,member,variable,version
CMIP6,MPI-ESM1-2-LR,ssp585,r1i1p1f1,tas,v20190710
CMIP6,MRI-ESM2-0,historical,r1i1p1f1,tas,v20190603
CMIP6,MRI-ESM2-0,ssp126,r1i1p1f1,tas,v20191108
CMIP6,MRI-ESM2-0,ssp245,r1i1p1f1,tas,v20190603
CMIP6,MRI-ESM2-0,ssp370,r1i1p1f1,tas,v20190603
CMIP6,MRI-ESM2-0,ssp460,r1i1p1f1,tas,v20190603
CMIP6,MRI-ESM2-0,ssp585,r1i1p1f1,tas,v20191108
CMIP6,NESM3,historical,r1i1p1f1,tas,v20190812
CMIP6,NESM3,ssp126,r1i1p1f1,tas,v20190806
CMIP6,NESM3,ssp245,r1i1p1f1,tas,v20190805
CMIP6,NESM3,ssp585,r1i1p1f1,tas,v20190811
CMIP6,NorESM2-LM,historical,r1i1p1f1,tas,v20190815
CMIP6,NorESM2-LM,ssp126,r1i1p1f1,tas,v20191108
CMIP6,NorESM2-LM,ssp245,r1i1p1f1,tas,v20191108
CMIP6,NorESM2-LM,ssp370,r1i1p1f1,tas,v20191108
CMIP6,NorESM2-LM,ssp585,r1i1p1f1,tas,v20191108
CMIP6,NorESM2-MM,historical,r1i1p1f1,tas,v20191108
CMIP6,NorESM2-MM,ssp126,r1i1p1f1,tas,v20191108
CMIP6,NorESM2-MM,ssp245,r1i1p1f1,tas,v20191108
CMIP6,NorESM2-MM,ssp370,r1i1p1f1,tas,v20191108
CMIP6,NorESM2-MM,ssp585,r1i1p1f1,tas,v20191108
CMIP6,TaiESM1,historical,r1i1p1f1,tas,v20200626
CMIP6,TaiESM1,ssp585,r1i1p1f1,tas,v20200902
CMIP6,UKESM1-0-LL,historical,r1i1p1f2,tas,v20190627
CMIP6,UKESM1-0-LL,ssp126,r1i1p1f2,tas,v20190708
CMIP6,UKESM1-0-LL,ssp245,r1i1p1f2,tas,v20190715
CMIP6,UKESM1-0-LL,ssp370,r1i1p1f2,tas,v20190726
CMIP6,UKESM1-0-LL,ssp585,r1i1p1f2,tas,v20190726
